# docs/examples/exp01b.yml experiment
time;transaction;price;volume
4;1;588.35;471
8;2;981.21;59
9;3;981.21;136
9;4;745.90;101
9;5;739.18;472
11;6;793.01;405
13;7;895.73;727
13;8;793.01;39
16;9;793.01;65
16;10;739.18;80
16;11;547.92;267
